Band;Title;;year;FORMAT;Label;RC;PC C;ED;Precio;Estilo;Sub Stylo;image_file
2 Lux 25;Go !!! / Give Yourself;;91;"12""";Extreme;EX;EX;UK;4;Electronic;Dance;2_Lux_25_Go_!!!_Give_Yourself_12_2026-03-23.jpg
3D;Fantasia;spanish early synthdance-electro  promo in picture cover;84;"7""";CFE;VG+;??;SP;3;Disco;Italo Disco;3D_Fantasia_7_2026-03-23.jpg
5000000 / Nite Club;Where is my head / Up and down;;87;"12""";Ibiza;EX;??;IT;2;Disco;Italo Disco;5000000_Nite_Club_Where_is_my_head_Up_and_down_12_2026-03-23.jpg
52nd Street;Cool as ice / Twice as nice;;83;"12""";Fac;EX;??;BE;7;Disco;Boogie;52nd_Street_Cool_as_ice_Twice_as_nice_12.jpg
52nd Street;Look into my eyes / Express;;83;"12""";Fac;NM;??;UK;200;Disco;Boogie;52nd_Street_Look_into_my_eyes_Express_12_2026-03-23.jpg
52nd Street;You are my last chance;"double 12""";85;"12""";10 Records;NM;??;UK;7;Disco;Boogie;52nd_Street_You_are_my_last_chance_12_2026-03-23.jpg
A raul orellana mix;Dance dance dance mix;;87;"7""";Blanco y Negro;M;M;SP;7;Disco;Mix;A_raul_orellana_mix_Dance_dance_dance_mix_7_2026-03-23.jpg
Varios - Foreplay 43;A&M's Pre-Release sampler May 1981;Airplay only copy  various artists -Chas Jankel  Oingo Boingo...;81;"12""";A&M;M;??;US;5;Disco;;Varios_-_Foreplay_43_A&M's_Pre-Release_sampler_May_1981_12.jpg
ABC;The Look of love;;84;"12""";Neutron;NM;??;SP;5;Disco;;ABC_The_Look_of_love_12_2026-03-23.jpg
Adventure;Phantasy Eye land (What's your phantasy);mint copy;81;"12""";Sweet Mountain;M;??;US;5;Disco;Disco Funk;Adventure_Phantasy_Eye_land_(What's_your_phantasy)_12_2026-03-23.jpg
African Magic Combo;Man was born in africa;;78;"12""";RCA;M;NM;SP;3;Disco;Disco Funk;African_Magic_Combo_Man_was_born_in_africa_12.jpg
Afrique;Soul Makossa / Hot Mud;;73;"7""";Mainstream;EX;??;US;6;Rhythm & Blues;Funk;Afrique_Soul_Makossa_Hot_Mud_7_2026-03-23.jpg
Age Pee;Erdbeer Ice / Bananas in the house;;90;"12""";Zyx;M;NM;NL;4;Electronic;Dance;Age_Pee_Erdbeer_Ice_Bananas_in_the_house_12_2026-03-23.jpg
Ago;for you;;82;"12""";Fulltime;M;??;SP;19;Disco;Italo Disco;Ago_for_you_12.jpg
Aki;Tokyo's;;86;"12""";Time Records;NM;Generic;IT;42;Disco;Italo Disco;Aki_Tokyo's_12.jpg
Al Green;I feel good;PROMO! Rare as a promo;78;"12""";Hi ;M;??;US;4;Disco;Disco Funk;Al_Green_I_feel_good_12.jpg
Alan Cook;Bad Dreams;;87;"7""";Max Music;EX;??;SP;5;Disco;Italo Disco;Alan_Cook_Bad_Dreams_7.jpg
Alan Jones;Circle of life;;94;"12""";Power Fly;EX;??;IT;8;Electronic;Dance;Alan_Jones_Circle_of_life_12.jpg
Alan Jones;e boogie;;90;"12""";Quality;EX;??;SP;4;Electronic;Dance;Alan_Jones_e_boogie_12.jpg
Alan Jones;Eyes without a face;;90;"12""";Out;EX;EX;IT;10;Electronic;Dance;Alan_Jones_Eyes_without_a_face_12.jpg
Alberici;England's children / We're gonna love;;80;"7""";MSR;EX;??;US;5;Disco;;Alberici_England's_children_We're_gonna_love_7.jpg
Albert One;Everybody;;88;"12""";Media Record;NM;??;IT;15;Disco;Italo Disco;Albert_One_Everybody_12.jpg
